iter	Passed	Remaining
0	100	9937
1	200	9837
2	306	9924
3	399	9599
4	504	9594
5	603	9458
6	692	9203
7	790	9089
8	885	8954
9	979	8811
10	1072	8676
11	1171	8589
12	1269	8497
13	1360	8355
14	1457	8259
15	1553	8158
16	1648	8049
17	1744	7948
18	1839	7843
19	1931	7724
20	2027	7625
21	2120	7518
22	2213	7409
23	2310	7315
24	2406	7220
25	2508	7138
26	2606	7047
27	2696	6933
28	2793	6838
29	2885	6733
30	2978	6630
31	3060	6504
32	3154	6404
33	3249	6308
34	3339	6202
35	3433	6104
36	3531	6012
37	3625	5915
38	3720	5818
39	3816	5724
40	3912	5630
41	4009	5536
42	4102	5438
43	4196	5341
44	4291	5244
45	4391	5154
46	4485	5058
47	4582	4964
48	4677	4868
49	4770	4770
50	4865	4674
51	4958	4577
52	5053	4481
53	5141	4379
54	5236	4284
55	5334	4191
56	5427	4094
57	5529	4004
58	5627	3910
59	5718	3812
60	5806	3712
61	5899	3615
62	5991	3518
63	6086	3423
64	6180	3328
65	6276	3233
66	6370	3137
67	6470	3044
68	6565	2949
69	6655	2852
70	6748	2756
71	6845	2662
72	6938	2566
73	7027	2469
74	7121	2373
75	7213	2278
76	7306	2182
77	7400	2087
78	7497	1992
79	7587	1896
80	7680	1801
81	7770	1705
82	7863	1610
83	7956	1515
84	8053	1421
85	8154	1327
86	8248	1232
87	8339	1137
88	8430	1041
89	8526	947
90	8619	852
91	8710	757
92	8801	662
93	8895	567
94	8992	473
95	9091	378
96	9185	284
97	9281	189
98	9373	94
99	9469	0
